Title,Name [personal] (Creator),Place of Publication,Place of Origin,Publisher,Date,Subject - Topic,Subject - Name [corporate],Abstract (Description),Note [content] (Note),Contributing Repository
"Mississippi River Commission fleet in winter quarters, Chester, Ill., 1887 January",,,Chester (Ill.),,1887-01,Government vessels--United States--Photographs,,,,LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
"Mississippi River Commission Fleet in winter quarters, Chester, Ill., 1887 January",,,Chester (Ill.),,1887-01,Government vessels--United States--Photographs,,,,LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
"U. S. snagboat Horatio G. Wright in winter quarters, Chester, Ill., 1887 January",,,Chester (Ill.),,1887-01,Government vessels--United States--Photographs,Horatio G. Wright (Snagboat)--Photographs,,,LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
"U. S. snagboat Horatio G. Wright in winter quarters, Chester, Ill., 1887 January",,,Chester (Ill.),,1887-01,Government vessels--United States--Photographs,Horatio G. Wright (Snagboat)--Photographs,,,LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
"U.S. snagboat John R. Meigs moored at river's edge, St. Louis, Mo., circa 1890",,,Saint Louis (Mo.),,Circa 1890,Government vessels--United States--Photographs,John R. Meigs (Snagboat)--Photographs,,,LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
"Bird’s-eye-view starboard side of C.R. Suter under construction, keel and ribs laid, no hull cladding",,,Pittsburgh (Pa.),,Circa 1885,Government vessels--United States--Photographs; Shipbuilding--United States--Photographs,C. R. Suter (Snagboat)--Photographs,,,LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
"Bird’s-eye-view starboard side of C.R. Suter under construction, keel and ribs laid, no hull cladding",,,Pittsburgh (Pa.),,Circa 1885,Government vessels--United States--Photographs; Shipbuilding--United States--Photographs,C. R. Suter (Snagboat)--Photographs,,,LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
"C.R. Suter under construction, camera looks forward from aft, stern completely clad",,,Pittsburgh (Pa.),,Circa 1885,Government vessels--United States--Photographs; Shipbuilding--United States--Photographs,C. R. Suter (Snagboat)--Photographs,,,LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
"C.R. Suter under construction, keel and ribs laid, partial hull cladding, camera looking aft from bow",,,Pittsburgh (Pa.),,Circa 1885,Government vessels--United States--Photographs; Shipbuilding--United States--Photographs,C. R. Suter (Snagboat)--Photographs,,,LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
"C.R. Suter under construction, keel and ribs laid, partial hull cladding, camera looking aft from bow",,,Pittsburgh (Pa.),,Circa 1885,Government vessels--United States--Photographs; Shipbuilding--United States--Photographs,C. R. Suter (Snagboat)--Photographs,,,LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
